index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
22,-1.22,-43.8,-27.92,-54.95,-244.44,237.84,18.43,243.69,103.15,8.21,-21.39,-87.46,1.297,10.697,12.988,0.719
23,-1.11,-39.44,-30.1,-57.33,-229.92,215.16,34.04,284.74,37.22,-0.79,-71.25,-70.08,1.093,11.584,7.735,0.81
24,-0.87,-39.16,-30.1,-56.06,-222.98,211.5,21.53,234.65,75.14,6.59,-26.49,-80.72,1.053,11.257,9.859,0.911
25,-1.25,-40.33,-27.47,-57.9,-227.37,220.41,57.79,374.04,-60.31,-19.75,-163.58,-17.4,0.549,13.117,14.878,0.787
26,-1.09,-40.97,-27.35,-57.61,-215.31,221.23,45.28,334.84,-28.07,-9.57,-128.55,-37.05,0.704,14.569,10.839,1.008
27,-1.28,-41.83,-27.26,-55.22,-232.32,192.01,54.08,381.45,-68.66,-18.79,-170.71,-7.96,0.554,9.748,8.107,1.148
28,-0.86,-40.17,-26.53,-60.6,-221.52,221.69,65.86,384.38,-124.13,-24.72,-175.28,15.0,0.607,17.598,5.327,0.874
29,-1.08,-41.2,-27.69,-57.92,-236.73,250.01,34.76,284.7,50.14,2.48,-53.09,-84.78,1.627,15.859,6.87,0.579
30,0.21,-38.0,-30.29,-57.25,-230.27,253.82,33.59,292.1,31.21,1.01,-69.79,-77.97,1.216,19.569,10.411,0.559
31,-1.31,-42.47,-27.91,-58.55,-228.07,250.42,38.06,287.7,36.0,1.59,-57.96,-82.85,1.639,17.735,6.07,0.608
32,-1.1,-41.21,-28.85,-58.08,-227.81,229.73,77.39,404.44,-180.64,-31.75,-196.52,46.5,0.528,8.342,9.115,0.689
33,-1.67,-43.84,-26.78,-57.15,-226.26,253.5,73.32,410.07,-182.09,-29.32,-196.69,42.19,0.655,11.084,10.23,0.565
34,-1.44,-42.45,-30.43,-59.93,-245.14,289.13,26.93,256.46,75.51,7.83,-14.04,-95.96,1.726,13.088,13.776,0.56
35,-1.11,-41.9,-27.17,-58.48,-227.53,234.2,51.11,355.92,-39.83,-13.71,-140.54,-33.84,0.835,12.073,10.095,0.782
36,-0.93,-39.45,-26.2,-59.06,-210.5,228.42,38.58,321.65,-9.97,-6.97,-115.35,-46.86,0.66,19.464,13.968,1.083
37,-1.04,-39.72,-28.07,-58.62,-236.03,258.95,54.83,359.41,-50.35,-14.63,-131.66,-42.21,1.397,18.578,5.635,0.511
38,-0.78,-40.63,-29.3,-61.95,-234.48,228.14,69.73,389.16,-98.09,-24.27,-170.12,-4.57,0.866,17.035,5.745,0.564
39,-0.5,-37.44,-28.38,-55.83,-217.86,220.13,29.8,278.08,28.41,0.5,-68.93,-67.62,0.959,20.378,7.578,0.961
40,-1.11,-40.7,-27.45,-58.23,-233.2,239.82,69.31,391.74,-123.36,-25.29,-174.35,7.8,0.892,12.725,5.91,0.576
41,-0.72,-39.18,-27.44,-54.38,-204.66,216.49,27.72,254.5,31.18,3.38,-51.97,-70.88,1.044,11.089,6.858,0.939
42,-0.73,-43.09,-29.57,-55.14,-230.79,236.61,67.83,404.48,-148.47,-25.11,-188.13,22.87,0.755,18.919,5.676,0.598
43,-0.92,-39.02,-26.18,-53.69,-215.14,219.21,26.3,279.2,33.71,0.39,-76.85,-65.11,0.803,9.858,12.145,1.042
44,-0.83,-38.9,-27.32,-54.34,-231.4,235.93,19.47,249.25,83.13,7.26,-30.88,-84.13,1.093,17.841,11.657,0.868
45,-0.38,-40.54,-27.62,-57.19,-224.8,226.03,68.56,396.99,-151.51,-25.85,-186.17,28.07,0.578,19.361,5.057,0.86
46,-0.65,-42.65,-28.64,-58.97,-235.0,245.19,48.14,359.31,-29.31,-12.09,-138.53,-41.06,0.889,12.174,13.506,0.705
47,-1.49,-43.33,-29.5,-57.24,-232.83,240.59,36.44,287.62,45.31,1.66,-56.36,-86.57,1.703,16.806,5.882,0.591
48,-0.82,-42.01,-27.79,-58.01,-222.79,228.89,73.97,390.71,-166.84,-29.41,-186.25,35.79,0.677,8.072,6.144,0.612
49,-1.11,-41.28,-27.94,-57.28,-224.88,225.65,58.46,371.14,-84.82,-19.57,-162.37,-7.4,0.679,8.751,9.937,0.807
50,-0.89,-42.98,-27.79,-58.87,-228.3,230.13,56.58,374.99,-71.86,-18.5,-161.73,-14.57,0.702,9.674,12.112,0.794
51,-0.99,-40.2,-27.35,-60.97,-234.24,252.49,22.62,255.25,82.43,6.97,-29.42,-87.7,1.211,20.93,12.43,0.769
52,-0.92,-40.23,-26.25,-56.61,-227.71,243.55,71.59,404.31,-168.81,-29.0,-192.75,37.8,0.596,9.9,9.82,0.575
53,-0.82,-41.45,-27.99,-59.16,-223.63,239.76,77.61,406.17,-191.77,-31.94,-196.53,49.04,0.547,20.49,6.111,0.651
54,-0.65,-40.98,-28.22,-58.63,-224.89,233.81,56.63,361.48,-67.43,-16.83,-147.68,-22.4,0.875,16.222,7.019,0.738
55,-0.93,-42.07,-27.81,-59.89,-228.16,231.63,30.93,282.43,47.44,1.69,-62.21,-77.52,1.241,13.389,7.986,0.748
