index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
251,-0.93,-43.83,-27.55,-51.36,-227.82,243.91,26.22,276.61,56.2,2.26,-56.82,-82.94,1.216,9.587,8.988,0.618
252,-1.29,-41.42,-28.72,-57.07,-224.41,217.19,42.94,323.77,-9.65,-7.23,-111.15,-50.1,0.984,13.439,6.003,0.896
253,-1.01,-39.33,-27.08,-56.5,-222.42,206.96,43.06,325.23,-24.74,-10.77,-120.18,-37.76,0.836,7.645,6.512,0.964
254,-1.12,-42.96,-27.35,-62.51,-234.42,248.34,25.16,246.33,82.02,8.07,-16.4,-88.18,1.567,11.845,6.802,0.615
255,-0.86,-39.99,-27.41,-58.2,-226.4,224.94,58.13,381.16,-78.56,-20.22,-170.39,-7.78,0.52,13.386,13.755,0.89
256,-1.46,-42.67,-26.92,-57.11,-224.09,223.94,67.41,397.41,-138.94,-25.68,-187.21,22.89,0.531,17.463,5.681,0.849
257,-1.04,-41.1,-28.09,-60.23,-229.81,249.75,60.08,379.6,-84.34,-19.48,-162.3,-12.52,0.795,11.492,10.357,0.69
258,-0.49,-42.3,-26.44,-59.24,-233.75,253.97,25.11,254.09,72.9,8.27,-20.39,-90.12,1.738,12.252,5.156,0.527
259,-0.79,-39.52,-28.44,-61.27,-224.9,207.33,50.27,365.89,-57.69,-14.63,-157.32,-17.4,0.546,18.406,10.639,1.36
260,-1.11,-42.65,-27.72,-60.1,-227.22,243.05,42.37,338.86,-2.64,-7.89,-121.17,-54.11,0.851,15.59,12.818,0.835
261,-0.54,-42.44,-27.36,-51.87,-224.03,238.66,36.13,320.34,9.57,-3.35,-98.76,-66.27,1.164,20.288,5.408,0.632
262,-1.22,-43.01,-28.48,-56.78,-231.15,232.52,53.61,369.71,-45.98,-16.11,-150.48,-32.24,0.834,17.559,7.041,0.554
263,-0.96,-41.24,-26.67,-61.5,-221.29,220.51,70.17,393.61,-145.83,-27.34,-185.4,27.65,0.507,17.804,5.315,0.959
264,-0.77,-40.53,-29.56,-59.24,-224.85,212.59,26.98,277.06,55.81,1.28,-69.26,-74.11,0.862,11.232,12.473,0.994
265,-0.7,-41.57,-27.89,-58.85,-223.17,223.97,42.01,317.99,1.52,-7.1,-109.16,-55.03,0.889,8.35,8.715,0.738
266,-1.4,-42.74,-26.97,-62.18,-243.71,251.25,27.31,260.4,84.92,6.37,-30.0,-88.72,1.473,10.518,8.236,0.58
267,-0.97,-39.92,-27.14,-59.78,-224.81,219.38,52.43,358.13,-60.08,-16.25,-149.37,-18.97,0.704,8.913,8.631,1.042
268,-1.42,-42.67,-27.91,-59.12,-222.75,215.38,28.42,302.4,46.46,-0.03,-90.39,-71.9,0.765,20.858,13.433,1.075
269,-1.05,-43.16,-28.15,-58.66,-231.96,242.64,73.98,417.83,-174.27,-30.5,-204.09,42.83,0.519,7.401,14.388,0.679
270,-1.15,-41.03,-27.96,-54.92,-226.37,211.36,66.09,395.37,-159.13,-26.73,-187.4,37.83,0.552,10.639,5.259,1.333
271,-1.67,-42.54,-28.58,-56.66,-230.8,230.82,21.2,249.6,91.65,7.02,-30.38,-89.11,1.127,18.247,10.314,0.84
272,-0.93,-42.86,-27.46,-64.81,-234.45,235.16,48.81,339.87,3.4,-8.72,-117.87,-59.29,1.098,14.408,6.328,0.557
273,-1.2,-41.29,-28.14,-56.53,-225.47,214.39,67.05,396.46,-141.37,-26.09,-187.44,26.67,0.501,16.231,5.456,0.982
274,-1.36,-40.56,-27.02,-54.24,-225.23,221.74,50.71,359.93,-37.85,-14.03,-148.7,-30.95,0.641,14.988,9.438,0.677
275,-0.89,-39.81,-27.35,-58.64,-214.37,216.45,34.31,299.96,9.59,-3.69,-99.7,-54.51,0.732,8.541,12.878,1.086
276,-1.5,-40.67,-27.75,-55.27,-225.69,218.33,60.52,379.47,-84.91,-20.65,-168.49,-6.53,0.598,17.015,6.393,0.698
277,-1.09,-40.83,-28.06,-55.93,-228.62,218.97,16.83,245.61,93.6,7.36,-37.66,-84.72,0.915,13.444,14.45,0.99
278,-1.29,-42.53,-28.53,-58.7,-232.58,238.18,35.34,308.63,43.01,-1.89,-89.36,-74.31,0.941,14.798,12.752,0.706
279,-1.58,-42.05,-28.6,-54.69,-220.41,217.57,67.93,390.75,-170.97,-27.07,-188.25,41.82,0.547,8.941,5.846,1.147
280,-0.97,-44.4,-29.44,-58.96,-235.81,251.0,13.76,202.35,114.53,16.28,30.82,-88.15,1.682,14.582,7.797,0.547
281,-1.42,-40.92,-28.23,-50.99,-224.19,222.6,37.69,324.85,21.24,-6.4,-113.43,-61.78,0.662,20.328,14.179,0.821
282,-1.22,-41.65,-26.54,-58.1,-222.93,221.31,49.33,359.65,-46.14,-13.71,-148.7,-26.52,0.652,13.552,10.262,0.994
283,-1.2,-40.93,-28.63,-56.47,-224.08,215.12,37.64,317.8,16.47,-5.64,-108.92,-57.71,0.736,13.456,12.249,0.972
284,-1.08,-44.79,-28.57,-53.91,-237.35,261.71,21.24,256.08,88.14,7.3,-24.16,-94.11,1.439,13.858,10.1,0.512
285,-0.77,-41.13,-28.58,-59.27,-226.0,216.22,46.34,344.46,-35.67,-10.2,-132.68,-35.4,0.878,14.818,6.273,0.984
286,-1.02,-42.67,-27.89,-58.77,-242.31,249.69,23.77,273.95,92.55,5.16,-47.84,-91.66,1.156,18.563,13.092,0.625
287,-1.15,-43.37,-27.92,-57.06,-226.96,234.57,55.82,377.63,-71.08,-18.17,-165.05,-16.33,0.642,9.644,14.84,0.602
288,-0.67,-43.04,-27.44,-57.45,-224.85,222.23,64.97,390.41,-118.93,-24.48,-181.99,12.23,0.576,9.678,7.968,0.571
